No,Genre,Title,Author,PDF Download Link (Open in Browser)
1,Adventure,"Hamlet","Classic Author","https://www.gutenberg.org/ebooks/search/?query=Hamlet&submit_search=Go"
2,Adventure,"Leaves of Grass","Classic Author","https://www.gutenberg.org/ebooks/search/?query=Leaves%20of%20Grass&submit_search=Go"
3,Adventure,"Moby Dick","Herman Melville","https://www.gutenberg.org/ebooks/search/?query=Moby%20Dick&submit_search=Go"
4,Adventure,"Summer","Classic Author","https://www.gutenberg.org/ebooks/search/?query=Summer&submit_search=Go"
5,Adventure,"The ORuddy","Classic Author","https://www.gutenberg.org/ebooks/search/?query=The%20ORuddy&submit_search=Go"
6,Adventure,"The Odyssey","Classic Author","https://www.gutenberg.org/ebooks/search/?query=The%20Odyssey&submit_search=Go"
7,Adventure,"The Shadow Line","Classic Author","https://www.gutenberg.org/ebooks/search/?query=The%20Shadow%20Line&submit_search=Go"
8,Adventure,"The Wealth of Nations","Classic Author","https://www.gutenberg.org/ebooks/search/?query=The%20Wealth%20of%20Nations&submit_search=Go"
9,Adventure,"The Will to Power","Classic Author","https://www.gutenberg.org/ebooks/search/?query=The%20Will%20to%20Power&submit_search=Go"
10,Adventure,"Treasure Island","Robert Louis Stevenson","https://www.gutenberg.org/ebooks/search/?query=Treasure%20Island&submit_search=Go"
11,Art,"A Treatise on Painting (Vol. 3)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=A%20Treatise%20on%20Painting&submit_search=Go"
12,Art,"Art History (Vol. 2)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=Art%20History&submit_search=Go"
13,Art,"Art Through the Ages (Vol. 7)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=Art%20Through%20the%20Ages&submit_search=Go"
14,Art,"Art and Illusion (Vol. 4)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=Art%20and%20Illusion&submit_search=Go"
15,Art,"Complexity and Contradiction in Architecture (Vol. 8)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=Complexity%20and%20Contradiction%20in%20Architecture&submit_search=Go"
16,Art,"Concerning the Spiritual in Art (Vol. 4)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=Concerning%20the%20Spiritual%20in%20Art&submit_search=Go"
17,Art,"Design of Everyday Things (Vol. 5)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=Design%20of%20Everyday%20Things&submit_search=Go"
18,Art,"Discourses on Art (Vol. 3)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=Discourses%20on%20Art&submit_search=Go"
19,Art,"Early Christian and Byzantine Art (Vol. 3)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=Early%20Christian%20and%20Byzantine%20Art&submit_search=Go"
20,Art,"Gardner's Art Through the Ages (Vol. 3)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=Gardner's%20Art%20Through%20the%20Ages&submit_search=Go"
21,Art,"Gothic Architecture (Vol. 4)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=Gothic%20Architecture&submit_search=Go"
22,Art,"History of Art (Vol. 6)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=History%20of%20Art&submit_search=Go"
23,Art,"Interaction of Color (Vol. 6)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=Interaction%20of%20Color&submit_search=Go"
24,Art,"Lives of the Most Excellent Painters, Sculptors, and Architects (Vol. 7)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=Lives%20of%20the%20Most%20Excellent%20Painters%2C%20Sculptors%2C%20and%20Architects&submit_search=Go"
25,Art,"Modern Painters","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=Modern%20Painters&submit_search=Go"
26,Art,"Primitive Art (Vol. 2)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=Primitive%20Art&submit_search=Go"
27,Art,"Principles of Art History (Vol. 7)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=Principles%20of%20Art%20History&submit_search=Go"
28,Art,"Studies in Iconology (Vol. 6)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=Studies%20in%20Iconology&submit_search=Go"
29,Art,"The Analysis of Beauty (Vol. 6)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=The%20Analysis%20of%20Beauty&submit_search=Go"
30,Art,"The Architecture of the City (Vol. 7)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=The%20Architecture%20of%20the%20City&submit_search=Go"
31,Art,"The Art of Color (Vol. 4)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=The%20Art%20of%20Color&submit_search=Go"
32,Art,"The Craftsman's Handbook (Vol. 8)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=The%20Craftsman's%20Handbook&submit_search=Go"
33,Art,"The Elements of Drawing (Vol. 8)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=The%20Elements%20of%20Drawing&submit_search=Go"
34,Art,"The Gentle Art of Making Enemies (Vol. 7)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=The%20Gentle%20Art%20of%20Making%20Enemies&submit_search=Go"
35,Art,"The Humanities Through the Arts","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=The%20Humanities%20Through%20the%20Arts&submit_search=Go"
36,Art,"The Meaning of Art (Vol. 5)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=The%20Meaning%20of%20Art&submit_search=Go"
37,Art,"The Painter of Modern Life (Vol. 2)","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=The%20Painter%20of%20Modern%20Life&submit_search=Go"
38,Art,"The Philosophy of Fine Art (Vol. 5)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=The%20Philosophy%20of%20Fine%20Art&submit_search=Go"
39,Art,"The Picture of Dorian Gray (Vol. 6)","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=The%20Picture%20of%20Dorian%20Gray&submit_search=Go"
40,Art,"The Power of Images","Oscar Wilde","https://www.gutenberg.org/ebooks/search/?query=The%20Power%20of%20Images&submit_search=Go"
41,Art,"The Shape of Time (Vol. 5)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=The%20Shape%20of%20Time&submit_search=Go"
42,Art,"The Shock of the New (Vol. 8)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=The%20Shock%20of%20the%20New&submit_search=Go"
43,Art,"The Stones of Venice (Vol. 2)","John Ruskin","https://www.gutenberg.org/ebooks/search/?query=The%20Stones%20of%20Venice&submit_search=Go"
44,Art,"The Story of Art (Vol. 2)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=The%20Story%20of%20Art&submit_search=Go"
45,Art,"The Visual Arts: A History (Vol. 4)","Giorgio Vasari","https://www.gutenberg.org/ebooks/search/?query=The%20Visual%20Arts%3A%20A%20History&submit_search=Go"
46,Art,"Vision and Design","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=Vision%20and%20Design&submit_search=Go"
47,Art,"Ways of Seeing (Vol. 3)","Leonardo da Vinci","https://www.gutenberg.org/ebooks/search/?query=Ways%20of%20Seeing&submit_search=Go"
48,Art,"What Is Art?","Walter Pater","https://www.gutenberg.org/ebooks/search/?query=What%20Is%20Art%3F&submit_search=Go"
49,Biography,"Agassi (Vol. 7)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Agassi&submit_search=Go"
50,Biography,"Alexander Hamilton (Vol. 6)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Alexander%20Hamilton&submit_search=Go"
51,Biography,"Autobiography of Benjamin Franklin (Vol. 3)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Autobiography%20of%20Benjamin%20Franklin&submit_search=Go"
52,Biography,"Bayou Folk","Classic Author","https://www.gutenberg.org/ebooks/search/?query=Bayou%20Folk&submit_search=Go"
53,Biography,"Becoming (Vol. 3)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Becoming&submit_search=Go"
54,Biography,"Benjamin Franklin: An American Life (Vol. 7)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Benjamin%20Franklin%3A%20An%20American%20Life&submit_search=Go"
55,Biography,"Beyond Good and Evil","Classic Author","https://www.gutenberg.org/ebooks/search/?query=Beyond%20Good%20and%20Evil&submit_search=Go"
56,Biography,"Born a Crime (Vol. 4)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Born%20a%20Crime&submit_search=Go"
57,Biography,"Churchill: A Life (Vol. 8)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Churchill%3A%20A%20Life&submit_search=Go"
58,Biography,"Educated: A Memoir (Vol. 2)","Ulysses S. Grant","https://www.gutenberg.org/ebooks/search/?query=Educated%3A%20A%20Memoir&submit_search=Go"
